match_id,season,batting_team,bowling_team,home_team,away_team,over,runs
2,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,14,143
2,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,15,161
2,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,16,169
2,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,17,183
2,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,18,200
2,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,19,215
2,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,20,240
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,1,9
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2,16
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,3,27
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,4,37
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,5,47
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,6,63
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,7,69
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,8,84
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,9,97
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,10,110
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,11,115
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,12,127
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,13,141
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,14,152
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,15,165
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,16,176
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,17,186
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,18,191
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,19,198
2,2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,20,207
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,1,7
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,2,17
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,3,17
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,4,31
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,5,37
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,6,40
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,7,44
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,8,48
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,9,51
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,10,57
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,11,59
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,12,71
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,13,80
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,14,87
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,15,96
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,16,106
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,17,110
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,18,111
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,19,121
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,20,129
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,1,8
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,2,21
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,3,26
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,4,36
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,5,48
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,6,55
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,7,59
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,8,71
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,9,78
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,10,86
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,11,95
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,12,100
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,13,111
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,14,115
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,15,128
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,16,132
